Time,Timestamp,X,Y,Z,Magnitude,Pressure,Label
39:27.3,308.0816956,-1.173950195,0.080078125,-0.018676758,1.176826405,955.6292777,sd
39:27.3,308.1087341,-0.881713867,0.048217773,0.052734375,0.884604551,955.6292777,sd
39:27.3,308.1304932,-0.881713867,0.048217773,0.052734375,0.884604551,955.5874975,sd
39:27.4,308.1522827,-0.881713867,0.048217773,0.052734375,0.884604551,955.5874975,sd
39:27.4,308.1774902,-0.881713867,0.048217773,0.052734375,0.884604551,955.5874975,sd
39:27.4,308.1993103,-0.734985352,0.047973633,0.064208984,0.739342769,955.5874975,sd
39:27.4,308.2212219,-0.734985352,0.047973633,0.064208984,0.739342769,955.5874975,sd
39:27.4,308.2435913,-0.734985352,0.047973633,0.064208984,0.739342769,955.5874975,sd
39:27.5,308.2708435,-0.961669922,0.168823242,0.072753906,0.979082967,955.6332499,sd
39:27.5,308.2927856,-0.961669922,0.168823242,0.072753906,0.979082967,955.6332499,sd
39:27.5,308.3147278,-0.961669922,0.168823242,0.072753906,0.979082967,955.6332499,sd
39:27.5,308.3401794,-1.245483398,0.360595703,0.025634766,1.296886772,955.6332499,sd
39:27.6,308.3621826,-1.245483398,0.360595703,0.025634766,1.296886772,955.6332499,sd
39:27.6,308.3842468,-1.245483398,0.360595703,0.025634766,1.296886772,955.6332499,sd
39:27.6,308.406311,-1.245483398,0.360595703,0.025634766,1.296886772,955.6332499,sd
39:27.6,308.4336853,-1.312255859,0.435546875,-0.163085938,1.392233294,955.8051248,sd
39:27.7,308.45578,-1.312255859,0.435546875,-0.163085938,1.392233294,955.8051248,sd
39:27.7,308.4778748,-1.312255859,0.435546875,-0.163085938,1.392233294,955.8051248,sd
39:27.7,308.5049133,-1.218261719,0.38293457,-0.303222656,1.312533611,955.8051248,sd
39:27.7,308.5271301,-1.218261719,0.38293457,-0.303222656,1.312533611,955.7960691,sd
39:27.8,308.5493469,-1.218261719,0.38293457,-0.303222656,1.312533611,955.7960691,sd
39:27.8,308.5715942,-1.218261719,0.38293457,-0.303222656,1.312533611,955.7960691,sd
39:27.8,308.5972595,-1.026489258,0.330200195,-0.351928711,1.134269008,955.7960691,sd
39:27.8,308.6193848,-1.026489258,0.330200195,-0.351928711,1.134269008,955.7960691,sd
39:27.8,308.6417236,-1.026489258,0.330200195,-0.351928711,1.134269008,955.7960691,sd
39:27.9,308.669342,-0.912963867,0.326416016,-0.413208008,1.053940841,955.7960691,sd
39:27.9,308.6917114,-0.912963867,0.326416016,-0.413208008,1.053940841,955.7769697,sd
39:27.9,308.7140808,-0.912963867,0.326416016,-0.413208008,1.053940841,955.7769697,sd
39:27.9,308.7418213,-0.880981445,0.270507813,-0.451171875,1.026089102,955.7769697,sd
39:28.0,308.7641907,-0.880981445,0.270507813,-0.451171875,1.026089102,955.807337,sd
39:28.0,308.7865906,-0.880981445,0.270507813,-0.451171875,1.026089102,955.807337,sd
39:28.0,308.8090515,-0.880981445,0.270507813,-0.451171875,1.026089102,955.807337,sd
39:28.0,308.8349304,-0.86706543,0.189208984,-0.407348633,0.976491376,955.807337,sd
39:28.1,308.8574829,-0.86706543,0.189208984,-0.407348633,0.976491376,955.807337,sd
39:28.1,308.880127,-0.86706543,0.189208984,-0.407348633,0.976491376,955.807337,sd
39:28.1,308.90802,-0.780273438,0.162719727,-0.294189453,0.849618609,955.807337,sd
39:28.1,308.9306335,-0.780273438,0.162719727,-0.294189453,0.849618609,955.708197,sd
39:28.2,308.953186,-0.780273438,0.162719727,-0.294189453,0.849618609,955.708197,sd
39:28.2,308.9810791,-0.881591797,0.160766602,-0.199707031,0.91811377,955.708197,sd
39:28.2,309.0042419,-0.881591797,0.160766602,-0.199707031,0.91811377,955.6990169,sd
39:28.2,309.026886,-0.881591797,0.160766602,-0.199707031,0.91811377,955.6990169,sd
39:28.3,309.0495911,-0.881591797,0.160766602,-0.199707031,0.91811377,955.6990169,sd
39:28.3,309.0757141,-1.267578125,0.247436523,-0.08581543,1.29435058,955.6990169,sd
39:28.3,309.0984192,-1.267578125,0.247436523,-0.08581543,1.29435058,955.6990169,sd
39:28.3,309.1211853,-1.267578125,0.247436523,-0.08581543,1.29435058,955.6990169,sd
39:28.4,309.149231,-1.482055664,0.303466797,-0.062988281,1.514116446,955.6990169,sd
39:28.4,309.1720886,-1.482055664,0.303466797,-0.062988281,1.514116446,955.8408602,sd
39:28.4,309.1949158,-1.482055664,0.303466797,-0.062988281,1.514116446,955.8408602,sd
39:28.4,309.223053,-1.303710938,0.224365234,-0.138793945,1.330137484,955.8408602,sd
39:28.4,309.2459717,-1.303710938,0.224365234,-0.138793945,1.330137484,955.7121258,sd
39:28.5,309.2688904,-1.303710938,0.224365234,-0.138793945,1.330137484,955.7121258,sd
39:28.5,309.2918701,-1.303710938,0.224365234,-0.138793945,1.330137484,955.7121258,sd
39:28.5,309.3182678,-0.981811523,0.158325195,-0.165771484,1.008216703,955.7121258,sd
39:28.5,309.3412476,-0.981811523,0.158325195,-0.165771484,1.008216703,955.7121258,sd
39:28.6,309.3643188,-0.981811523,0.158325195,-0.165771484,1.008216703,955.7121258,sd
39:28.6,309.3933105,-0.745239258,0.098266602,-0.160644531,0.768664128,955.6791104,sd
39:28.6,309.4164124,-0.745239258,0.098266602,-0.160644531,0.768664128,955.6791104,sd
39:28.6,309.4395142,-0.745239258,0.098266602,-0.160644531,0.768664128,955.6791104,sd
39:28.7,309.4660645,-0.614013672,0.056762695,-0.113525391,0.626995061,955.6791104,sd
39:28.7,309.4892883,-0.614013672,0.056762695,-0.113525391,0.626995061,955.6791104,sd
39:28.7,309.5124512,-0.614013672,0.056762695,-0.113525391,0.626995061,955.6791104,sd
39:28.7,309.5410156,-0.595581055,0.070800781,-0.052856445,0.602099117,955.6791104,sd
39:28.8,309.564209,-0.595581055,0.070800781,-0.052856445,0.602099117,955.6983494,sd
39:28.8,309.5874634,-0.595581055,0.070800781,-0.052856445,0.602099117,955.6983494,sd
39:28.8,309.6107788,-0.595581055,0.070800781,-0.052856445,0.602099117,955.6983494,sd
39:28.8,309.6394043,-0.752807617,0.155517578,0.024291992,0.769087203,955.7444873,sd
39:28.9,309.6627808,-0.752807617,0.155517578,0.024291992,0.769087203,955.7444873,sd
39:28.9,309.6861572,-0.752807617,0.155517578,0.024291992,0.769087203,955.7444873,sd
39:28.9,309.7129822,-1.375366211,0.412719727,0.037353516,1.436441809,955.7444873,sd
39:28.9,309.7364502,-1.375366211,0.412719727,0.037353516,1.436441809,955.7444873,sd
39:29.0,309.7600708,-1.375366211,0.412719727,0.037353516,1.436441809,955.7444873,sd
39:29.0,309.7891235,-1.744873047,0.408813477,-0.16796875,1.799978864,955.7444873,sd
39:29.0,309.8125916,-1.744873047,0.408813477,-0.16796875,1.799978864,955.9855859,sd
39:29.0,309.8361206,-1.744873047,0.408813477,-0.16796875,1.799978864,955.9855859,sd
39:29.1,309.8652954,-1.46484375,0.209960938,-0.365966797,1.524395783,955.9855859,sd
39:29.1,309.8888245,-1.46484375,0.209960938,-0.365966797,1.524395783,955.8301232,sd
39:29.1,309.9124451,-1.46484375,0.209960938,-0.365966797,1.524395783,955.8301232,sd
39:29.1,309.9394226,-1.117431641,0.231811523,-0.393676758,1.207216403,955.8301232,sd
39:29.2,309.9630737,-1.117431641,0.231811523,-0.393676758,1.207216403,955.8301232,sd
39:29.2,309.9867859,-1.117431641,0.231811523,-0.393676758,1.207216403,955.8301232,sd
39:29.2,310.010498,-1.117431641,0.231811523,-0.393676758,1.207216403,955.8301232,sd
39:29.2,310.0395508,-0.80847168,0.272216797,-0.391967773,0.938811577,955.7582889,sd
39:29.3,310.0632935,-0.80847168,0.272216797,-0.391967773,0.938811577,955.7582889,sd
39:29.3,310.0870667,-0.80847168,0.272216797,-0.391967773,0.938811577,955.7582889,sd
39:29.3,310.1162109,-0.703979492,0.270263672,-0.395385742,0.851445514,955.8346146,sd
39:29.3,310.1401367,-0.703979492,0.270263672,-0.395385742,0.851445514,955.8346146,sd
39:29.4,310.1642761,-0.703979492,0.270263672,-0.395385742,0.851445514,955.8346146,sd
39:29.4,310.1915588,-0.725097656,0.215087891,-0.368896484,0.841495115,955.8346146,sd
39:29.4,310.2154236,-0.725097656,0.215087891,-0.368896484,0.841495115,955.8346146,sd
39:29.4,310.2393799,-0.725097656,0.215087891,-0.368896484,0.841495115,955.8346146,sd
39:29.5,310.2859802,-0.815185547,0.168579102,-0.273071289,0.876078945,955.8346146,sd
39:29.5,310.3024292,-0.815185547,0.168579102,-0.273071289,0.876078945,955.7837195,sd
39:29.5,310.3188171,-0.815185547,0.168579102,-0.273071289,0.876078945,955.7837195,sd
39:29.5,310.3405151,-1.224121094,0.201049805,-0.111694336,1.245539683,955.7837195,sd
39:29.6,310.3570251,-1.224121094,0.201049805,-0.111694336,1.245539683,955.8485681,sd
39:29.6,310.3734741,-1.224121094,0.201049805,-0.111694336,1.245539683,955.8485681,sd
39:29.6,310.3899841,-1.224121094,0.201049805,-0.111694336,1.245539683,955.8485681,sd
39:29.6,310.4064941,-1.224121094,0.201049805,-0.111694336,1.245539683,955.8485681,sd
39:29.6,310.4264221,-1.566040039,0.301635742,0.005249023,1.594833244,955.8485681,sd
39:29.6,310.4429932,-1.566040039,0.301635742,0.005249023,1.594833244,955.8485681,sd
39:29.7,310.4595337,-1.566040039,0.301635742,0.005249023,1.594833244,955.8485681,sd
39:29.7,310.4761353,-1.566040039,0.301635742,0.005249023,1.594833244,955.8485681,sd
39:29.7,310.4927063,-1.566040039,0.301635742,0.005249023,1.594833244,955.8485681,sd
39:29.7,310.5146179,-1.459594727,0.321533203,-0.02355957,1.494776043,955.7570062,sd
39:29.7,310.5316162,-1.459594727,0.321533203,-0.02355957,1.494776043,955.7570062,sd
39:29.8,310.5482178,-1.459594727,0.321533203,-0.02355957,1.494776043,955.7570062,sd
39:29.8,310.5649109,-1.459594727,0.321533203,-0.02355957,1.494776043,955.7570062,sd
39:29.8,310.585022,-0.734741211,0.076538086,-0.201293945,0.765651342,955.7570062,sd
39:29.8,310.6016846,-0.734741211,0.076538086,-0.201293945,0.765651342,955.7570062,sd
39:29.8,310.6184387,-0.734741211,0.076538086,-0.201293945,0.765651342,955.7570062,sd
39:29.8,310.6351624,-0.734741211,0.076538086,-0.201293945,0.765651342,955.7570062,sd
39:29.9,310.651947,-0.734741211,0.076538086,-0.201293945,0.765651342,955.7570062,sd
39:29.9,310.6740112,-0.515380859,0.023803711,-0.215820313,0.559251691,955.745547,sd
39:29.9,310.6907959,-0.515380859,0.023803711,-0.215820313,0.559251691,955.745547,sd
39:29.9,310.7076416,-0.515380859,0.023803711,-0.215820313,0.559251691,955.745547,sd
39:29.9,310.7244568,-0.515380859,0.023803711,-0.215820313,0.559251691,955.745547,sd
39:30.0,310.7467041,-0.489135742,0.012695313,-0.156982422,0.513866156,955.7307112,sd
39:30.0,310.7635803,-0.489135742,0.012695313,-0.156982422,0.513866156,955.7307112,sd
39:30.0,310.7804871,-0.489135742,0.012695313,-0.156982422,0.513866156,955.7307112,sd
39:30.0,310.7974243,-0.489135742,0.012695313,-0.156982422,0.513866156,955.7307112,sd
39:30.0,310.8178406,-1.132568359,0.132446289,0.034179688,1.140798562,955.7307112,sd
39:30.0,310.8348999,-1.132568359,0.132446289,0.034179688,1.140798562,955.7307112,sd
39:30.1,310.8519592,-1.132568359,0.132446289,0.034179688,1.140798562,955.7307112,sd
39:30.1,310.8690186,-1.132568359,0.132446289,0.034179688,1.140798562,955.7307112,sd
39:30.1,310.8861694,-1.132568359,0.132446289,0.034179688,1.140798562,955.7307112,sd
