avg_accX,min_accX,max_accX,var_accX,std_accX,avg_accY,min_accY,max_accY,var_accY,std_accY,avg_accZ,min_accZ,max_accZ,var_accZ,std_accZ,avg_magnitude,min_magnitude,max_magnitude,var_magnitude,std_magnitude,avg_pressure,min_pressure,max_pressure,var_pressure,range_pressure,std_pressure,slope_pressure,kurtosis_pressure,Pressure_below_avg,Pressure_above_avg,skew_pressure,Label
-0.667717312,-1.701171875,0.859130859,0.683205173,0.824313109,0.236290973,-0.876953125,1.002685547,0.152075075,0.388906905,-0.057915066,-0.663208008,0.286132813,0.042261769,0.205017281,1.141309807,0.626307586,1.86798031,0.07562971,0.27426024,974.4169609,974.3408662,974.5124937,0.002159438,0.171627447,0.046343307,-0.000455199,-0.642731305,0.38,0.62,0.080899511,stairs down
-1.129703186,-1.660400391,-0.709228516,0.054061709,0.231908594,0.174941305,-0.135498047,0.611206055,0.036330426,0.190110981,0.077565248,-0.130981445,0.290771484,0.011261155,0.105843315,1.16574024,0.711884141,1.670109204,0.055312994,0.234577062,974.4373612,974.3900498,974.5272843,0.000769554,0.137234556,0.027668879,0.000373565,2.465571229,0.55,0.45,1.103531381,stairs down
-1.18840589,-1.755249023,-0.694946289,0.085587877,0.291697383,0.214231257,-0.354736328,0.597167969,0.05879589,0.241768596,0.062001011,-0.190429688,0.274780273,0.008493371,0.091889619,1.236808027,0.697103722,1.766170257,0.084832838,0.290407885,974.5487725,974.4652755,974.6571843,0.001932226,0.191908797,0.04382838,0.00079954,-0.152732038,0.5,0.5,0.266880842,stairs down
-0.899153689,-1.786010742,0.115600586,0.298358237,0.544767129,0.381801524,-0.01171875,1.107666016,0.081633474,0.284954827,-0.099696383,-0.690185547,0.193847656,0.061174646,0.246676405,1.150475822,0.724507543,1.81355979,0.079838914,0.281805321,974.7095512,974.6036858,974.8401939,0.002791803,0.236508106,0.052696803,0.000826514,-0.131531716,0.54,0.46,0.462766704,stairs down
0.043768834,-0.137084961,0.256958008,0.00674172,0.08187305,0.976272321,0.506958008,1.462402344,0.052074875,0.227546269,-0.263290318,-0.741333008,0.31652832,0.053281665,0.23016776,1.040911329,0.557801078,1.560025592,0.052592945,0.228675345,974.8477525,974.7180763,975.0937916,0.005611147,0.375715319,0.074693261,0.000559163,0.790182645,0.53,0.47,0.772372468,stairs down
-0.673598659,-1.63671875,0.880615234,0.637690948,0.796370704,0.121099086,-0.550415039,0.825073242,0.094722244,0.306927737,0.044911202,-0.517089844,0.260742188,0.041236364,0.2025118,1.083533248,0.193018063,1.758957795,0.066156333,0.256505016,974.9888683,974.8254794,975.0617165,0.003954311,0.236237132,0.062711264,0.000957645,-0.314688197,0.36,0.64,-0.907929985,stairs up
-1.290929827,-1.72277832,-0.920776367,0.033351693,0.182101928,0.146160714,-0.29675293,0.540893555,0.047381785,0.217050758,0.08965332,-0.187866211,0.541137695,0.032082577,0.178603606,1.328124087,0.940474219,1.806186074,0.038393083,0.195380895,974.9445844,974.8473526,975.0380926,0.002691348,0.190740067,0.051729771,-0.000954844,-0.754229077,0.43,0.57,-0.311043459,stairs up
-0.612952807,-1.926513672,1.231079102,0.950235719,0.9721038,0.289029453,-0.333618164,0.887817383,0.090850485,0.300580353,0.033791221,-0.499755859,0.783569336,0.106484287,0.32541662,1.199698204,0.358659156,2.148159293,0.163247476,0.402921278,974.7706101,974.7042168,974.9464526,0.004511146,0.24223574,0.066979273,-0.000977385,0.219744317,0.66,0.34,1.124064569,stairs up
-1.182336491,-1.426635742,-0.905273438,0.02130692,0.145578085,0.127799784,-0.275756836,0.432373047,0.026110882,0.161155984,0.092289726,-0.155883789,0.343017578,0.011581748,0.107330395,1.207825586,0.918132013,1.460747457,0.022732718,0.150370054,974.651343,974.5611192,974.7269111,0.001963451,0.165791945,0.044192208,-0.000762916,-0.849168413,0.48,0.52,-0.159585905,stairs up
-0.361557904,-1.380249023,0.382324219,0.402372835,0.632460225,0.583862305,0.089111328,1.0859375,0.086550413,0.293327961,0.183772547,-0.772827148,0.968994141,0.213903362,0.461134586,1.078928613,0.69870251,1.399827458,0.040233711,0.199992604,974.5291034,974.4343693,974.6343992,0.003590417,0.200029885,0.059743594,-0.001034103,-1.247245111,0.44,0.56,-0.230829564,stairs up
